Post,Company,Experience,Level,Salary,Deadline
Sales and Marketing Executive,InnoCSR Nepal (Good Bricks System),More than 3 years,Mid Level,Not Disclosed,2025-12-21
Store Assistant,Tuisa Jewels,More than 1 year,Mid Level,"NRs. 30,000 - 40,000 Monthly",2026-01-02
Assistant General Manager – Account,Ambe Group,More than 5 years,Senior Level,Not Disclosed,2026-01-01
Field Sales Representative,A Tobacco Company,Not Required,Entry Level,"NRs. 22,000 - 33,000 Monthly",2025-12-19
Social Media Manager / Coordinator,A Leading Beauty Company,More than 2 years,Mid Level,Not Disclosed,2026-01-01
Communication Officer,Liberty College,More than 1 year,Mid Level,Not Disclosed,2025-12-25
Librarian,Liberty College,More than 2 years,Mid Level,Not Disclosed,2025-12-25
Junior Officer – Finance and Revenue,Liberty College,More than 2 years,Mid Level,Not Disclosed,2025-12-25
Finance Manager,Liberty College,More than 5 years,Senior Level,Not Disclosed,2025-12-25
Program Coordinator – BCSIT,Liberty College,More than 5 years,Senior Level,Not Disclosed,2025-12-25
IT Officer,Liberty College,More than 2 years,Mid Level,Not Disclosed,2025-12-25
Front Desk Officer,IEC College of Art and Fashion,More than 1 year,Mid Level,Not Disclosed,2026-01-01
Senior Program Coordinator,KFA,More than 5 years,Senior Level,Not Disclosed,2026-01-01
Nurse,Bhurtel Law Services,More than 1 year,Mid Level,Not Disclosed,2025-12-27
Accounts Assistant,Hotel Black Diamond,More than 1 year,Mid Level,"NRs. 30,000 - 40,000 Monthly",2026-01-01
Project Sales Manager,Executive Search- Merojob,More than 3 years,Mid Level,"NRs. 40,000 - 50,000 Monthly",2026-01-01
Sales Officer,CTEX Import & Export,More than 1 year,Mid Level,Not Disclosed,2026-01-01
IT Officer,Liberty College,More than 2 years,Mid Level,Not Disclosed,2025-12-31
Program Coordinator – BCSIT,Liberty College,More than 5 years,Senior Level,Not Disclosed,2025-12-31
Finance Manager,Liberty College,More than 5 years,Senior Level,Not Disclosed,2025-12-31
Junior Officer – Finance and Revenue,Liberty College,More than 2 years,Mid Level,Not Disclosed,2025-12-31
Librarian,Liberty College,More than 2 years,Mid Level,Not Disclosed,2025-12-31
Communication Officer,Liberty College,More than 1 year,Mid Level,Not Disclosed,2025-12-31
Credit Analyst,Outsourced Experts,More than 1 year,Mid Level,Not Disclosed,2025-12-31
IELTS Instructor,Alphabet Education Consultancy,More than 1 year,Mid Level,Not Disclosed,2025-12-23
Accountant,Ram Vicky Trade Concern,More than 1 year,Mid Level,"NRs. 25,000 - 30,000 Monthly",2025-12-31
Accountant,JJ Marble,More than 2 years,Mid Level,"NRs. 25,000 Monthly",2025-12-31
Study Abroad Counselor,The Metaphor Consultancy - IEC Group,More than 5 years,Senior Level,Not Disclosed,2025-12-31
Inventory Assistant,East West Concern,Less than 1 year,Entry Level,"NRs. 22,000 - 25,000 Monthly",2025-12-31
Education Counselor,TWGG,More than 1 year,Mid Level,Not Disclosed,2025-12-31
IELTS / PTE Instructor,TWGG,More than 2 years,Mid Level,Not Disclosed,2025-12-31
Office Secretary,TWGG,More than 2 years,Mid Level,Not Disclosed,2025-12-31
Sales Executive,Kama Jewels,More than 1 year,Mid Level,"NRs. 30,000 Monthly",2025-12-31
Electrician,WorldLink Communications,More than 1 year,Entry Level,Not Disclosed,2025-12-31
