post,company,experience,level,year,month,day,salary_min,salary_max,salary_avg
Finance Manager,Liberty College,5.5,3,2025,12,31,,,
Junior Officer – Finance and Revenue,Liberty College,2.5,2,2025,12,31,,,
Librarian,Liberty College,2.5,2,2025,12,31,,,
Communication Officer,Liberty College,1.5,2,2025,12,31,,,
Credit Analyst,Outsourced Experts,1.5,2,2025,12,31,,,
IELTS Instructor,Alphabet Education Consultancy,1.5,2,2025,12,23,,,
Accountant,Ram Vicky Trade Concern,1.5,2,2025,12,31,25000.0,30000.0,27500.0
Accountant,JJ Marble,2.5,2,2025,12,31,25000.0,25000.0,25000.0
Study Abroad Counselor,The Metaphor Consultancy - IEC Group,5.5,3,2025,12,31,,,
Inventory Assistant,East West Concern,0.5,1,2025,12,31,22000.0,25000.0,23500.0
Education Counselor,TWGG,1.5,2,2025,12,31,,,
IELTS / PTE Instructor,TWGG,2.5,2,2025,12,31,,,
Office Secretary,TWGG,2.5,2,2025,12,31,,,
Sales Executive,Kama Jewels,1.5,2,2025,12,31,30000.0,30000.0,30000.0
Electrician,WorldLink Communications,1.5,1,2025,12,31,,,
HR Officer,Executive Search- Merojob,3.5,2,2025,12,30,35000.0,40000.0,37500.0
Assistant to the Asia Council Chair,Kindernothilfe (KNH),2.5,2,2026,1,15,,,
Front Desk Associate,Gurukul Commerce Academy,0.5,1,2025,12,30,,,
Assistant / Officer,Himalayan Everest Insurance,1.5,2,2025,12,30,,,
FLM Coordinator,ZTE Nepal,8.5,3,2025,12,30,,,
Logistic Coordinator / Spare Parts Coordinator,ZTE Nepal,5.5,3,2025,12,30,,,
People and Culture Manager,Maatri Nepal,4.5,2,2025,12,15,,,
Senior Accountants,Kathmandu Commerce & Trade (Bravo),2.5,3,2025,12,27,,,
Admission Officer (UK and Australia),Graduate Studio Counselling Center,1.5,2,2025,12,26,,,
Retail Salesperson,JJ Marble,1.5,2,2025,12,29,25000.0,25000.0,25000.0
Marketing Representative,Siddhartha Hardwares,2.5,2,2025,12,27,,,
General Support Executive,Nepal Digital Payments Company Limited,1.5,1,2025,12,16,,,
Principal,Asian World School,5.5,3,2025,12,16,,,
Education Counselor,Click Consulting Group,2.5,2,2025,12,27,70000.0,120000.0,95000.0
Market Representative,Kathmandu Commerce & Trade (Bravo),1.5,2,2025,12,27,,,
Intern,E-Spot Nepal,0.0,1,2025,12,18,,,
HR Executive,Millsberry School,5.5,3,2025,12,27,,,
Education Counselor,Vivid Education,1.5,2,2025,12,26,27083.333333333332,62500.0,44791.666666666664
Marketing Executive,Siddhartha Hardware and Suppliers,2.5,2,2025,12,27,,,
